CALL LAPPHIEUGUI('MS000000', '2024-09-06', 245809);
CALL LAPPHIEUGUI('MS000001', '2024-09-27', 312618);
CALL LAPPHIEUGUI('MS000002', '2024-09-11', 364420);
CALL LAPPHIEUGUI('MS000005', '2024-10-02', 464641);
CALL LAPPHIEUGUI('MS000012', '2024-09-15', 562476);
CALL LAPPHIEUGUI('MS000014', '2024-10-02', 897275);
CALL LAPPHIEUGUI('MS000018', '2024-10-09', 211213);
CALL LAPPHIEUGUI('MS000023', '2024-09-14', 265294);
CALL LAPPHIEUGUI('MS000024', '2024-09-27', 694534);
CALL LAPPHIEUGUI('MS000025', '2024-10-21', 870413);
CALL LAPPHIEUGUI('MS000027', '2024-10-11', 962279);
CALL LAPPHIEUGUI('MS000030', '2024-08-26', 320706);
CALL LAPPHIEUGUI('MS000033', '2024-10-05', 484778);
CALL LAPPHIEUGUI('MS000036', '2024-08-29', 603757);
CALL LAPPHIEUGUI('MS000042', '2024-10-09', 211450);
CALL LAPPHIEUGUI('MS000048', '2024-09-12', 828280);
CALL LAPPHIEUGUI('MS000049', '2024-10-10', 814128);
CALL LAPPHIEUGUI('MS000053', '2024-10-17', 536127);
CALL LAPPHIEUGUI('MS000054', '2024-09-10', 210270);
CALL LAPPHIEUGUI('MS000058', '2024-10-03', 280606);
CALL LAPPHIEUGUI('MS000070', '2024-09-08', 958875);
CALL LAPPHIEUGUI('MS000073', '2024-10-13', 539554);
CALL LAPPHIEUGUI('MS000074', '2024-10-06', 904943);
CALL LAPPHIEUGUI('MS000077', '2024-09-13', 426968);
CALL LAPPHIEUGUI('MS000081', '2024-09-28', 262633);
CALL LAPPHIEUGUI('MS000083', '2024-09-01', 541089);
CALL LAPPHIEUGUI('MS000085', '2024-09-24', 415064);
CALL LAPPHIEUGUI('MS000089', '2024-09-10', 276720);
CALL LAPPHIEUGUI('MS000099', '2024-08-31', 979245);
CALL LAPPHIEUGUI('MS000100', '2024-10-12', 853568);
CALL LAPPHIEUGUI('MS000101', '2024-10-17', 413033);
CALL LAPPHIEUGUI('MS000103', '2024-09-12', 755853);
CALL LAPPHIEUGUI('MS000106', '2024-10-15', 345605);
CALL LAPPHIEUGUI('MS000109', '2024-08-28', 118525);
CALL LAPPHIEUGUI('MS000110', '2024-09-29', 495272);
CALL LAPPHIEUGUI('MS000111', '2024-10-04', 104902);
CALL LAPPHIEUGUI('MS000113', '2024-10-08', 475315);
CALL LAPPHIEUGUI('MS000115', '2024-08-29', 278865);
CALL LAPPHIEUGUI('MS000117', '2024-10-27', 690568);
CALL LAPPHIEUGUI('MS000120', '2024-09-13', 545155);
CALL LAPPHIEUGUI('MS000130', '2024-09-02', 515053);
CALL LAPPHIEUGUI('MS000131', '2024-09-24', 854309);
CALL LAPPHIEUGUI('MS000133', '2024-10-05', 309797);
CALL LAPPHIEUGUI('MS000139', '2024-10-19', 758997);
CALL LAPPHIEUGUI('MS000140', '2024-09-27', 256207);
CALL LAPPHIEUGUI('MS000141', '2024-09-14', 299135);
CALL LAPPHIEUGUI('MS000146', '2024-10-05', 751200);
CALL LAPPHIEUGUI('MS000147', '2024-10-27', 826038);
CALL LAPPHIEUGUI('MS000151', '2024-10-22', 112198);
CALL LAPPHIEUGUI('MS000153', '2024-08-28', 837370);
CALL LAPPHIEUGUI('MS000154', '2024-10-19', 399154);
CALL LAPPHIEUGUI('MS000155', '2024-09-28', 113453);
CALL LAPPHIEUGUI('MS000157', '2024-10-04', 120732);
CALL LAPPHIEUGUI('MS000159', '2024-10-15', 683726);
CALL LAPPHIEUGUI('MS000161', '2024-09-24', 587326);
CALL LAPPHIEUGUI('MS000162', '2024-10-28', 317482);
CALL LAPPHIEUGUI('MS000163', '2024-10-04', 622558);
CALL LAPPHIEUGUI('MS000167', '2024-08-27', 272291);
CALL LAPPHIEUGUI('MS000168', '2024-09-27', 594958);
CALL LAPPHIEUGUI('MS000173', '2024-10-24', 124270);
CALL LAPPHIEUGUI('MS000178', '2024-09-01', 767229);
CALL LAPPHIEUGUI('MS000183', '2024-09-29', 374824);
CALL LAPPHIEUGUI('MS000184', '2024-10-22', 228340);
CALL LAPPHIEUGUI('MS000185', '2024-08-31', 732449);
CALL LAPPHIEUGUI('MS000187', '2024-10-07', 543293);
CALL LAPPHIEUGUI('MS000189', '2024-09-14', 264414);
CALL LAPPHIEUGUI('MS000195', '2024-08-28', 554604);
